Make,Model,Vehicle Class,Body Type,Seats,Fuel Type,Battery Capacity (kWh),Electric Range (km),City MPG,Highway MPG,Combined MPG,CO2 Emissions (g/km),Drive Type,Footprint
Hyundai,Tucson Plug-in Hybrid,Small SUV 4WD,SUV,5,Gasoline,13.787999999999998,51.49888,35.0,35.0,35.0,64.00139187493009,All Wheel Drive,
Fca Us Llc,Wrangler 4dr 4xe,Small SUV 4WD,SUV,5,Gasoline,17.0775,35.40548,20.0,20.0,20.0,142.91572942945555,4-Wheel Drive,
Fca Us Llc,Grand Cherokee 4xe,Standard SUV 4WD,SUV,5,Gasoline,17.0775,41.84284,23.0,24.0,23.0,109.9829743870158,4-Wheel Drive,
Kia,Niro Plug-in Hybrid,Small SUV 2WD,SUV,5,Gasoline,11.088,54.71756,49.0,47.0,48.0,44.11746430213628,"2-Wheel Drive, Front",
Kia,Sorento Plug-in Hybrid,Small SUV 4WD,SUV,7,Gasoline,13.787999999999998,48.2802,33.0,34.0,33.0,68.97237376812855,All Wheel Drive,
Kia,Sportage Plug-in Hybrid,Small SUV 4WD,SUV,5,Gasoline,13.967999999999998,54.71756,36.0,35.0,35.0,59.65178271838145,All Wheel Drive,
Jaguar Land Rover L,Range Rover P550 PHEV,Standard SUV 4WD,SUV,5,Gasoline,38.208,85.29502,21.0,22.0,21.0,63.38001913828029,4-Wheel Drive,
Jaguar Land Rover L,Range Rover Sport P460 PHEV,Standard SUV 4WD,SUV,5,Gasoline,38.208,85.29502,21.0,22.0,21.0,63.38001913828029,4-Wheel Drive,
Toyota,NX 450h+ AWD,Small SUV 4WD,SUV,5,Gasoline,18.105,59.54558,38.0,33.0,36.0,54.05942808853319,All Wheel Drive,
Toyota,RX 450h+ AWD,Small SUV 4WD,SUV,5,Gasoline,18.105,59.54558,36.0,33.0,35.0,55.3021735618328,All Wheel Drive,
Toyota,TX 550h+ AWD,Standard SUV 4WD,SUV,5,Gasoline,18.105,53.10822,29.0,28.0,29.0,74.56472839797681,All Wheel Drive,
Toyota,Prius PHEV,Midsize Cars,Car,5,Gasoline,13.566,64.3736,50.0,47.0,48.0,37.2823641989884,"2-Wheel Drive, Front",
Toyota,Prius PHEV SE,Midsize Cars,Car,5,Gasoline,13.566,72.4203,53.0,51.0,52.0,31.068636832490338,"2-Wheel Drive, Front",
Toyota,RAV4 PHEV AWD,Small SUV 4WD,SUV,5,Gasoline,18.105,67.59228,40.0,36.0,38.0,44.73883703878609,All Wheel Drive,
Ford Motor Company,CORSAIR AWD PHEV,Small SUV 4WD,SUV,5,Gasoline,14.496,43.45218,34.0,32.0,33.0,75.80747387127643,Part-time 4-Wheel Drive,
Mazda,MAZDA CX-70 4WD,Standard SUV 4WD,SUV,5,Gasoline,17.75,40.7323954,24.0,27.0,25.0,104.39061975716754,4-Wheel Drive,
Mazda,MAZDA CX-90 4WD,Standard SUV 4WD,SUV,8,Gasoline,17.75,40.7323954,24.0,27.0,25.0,104.39061975716754,4-Wheel Drive,
Mercedes-Benz,AMG GT 63 S E PERFORMANCE (coupe),Two Seaters,Car,2,Gasoline,28.8,17.70274,16.0,22.0,19.0,246.68497644997328,All Wheel Drive,
Mercedes-Benz,AMG SL 63 S E PERFORMANCE,Minicompact Cars,Car,4,Gasoline,28.8,14.48406,16.0,22.0,18.0,235.5002671902768,All Wheel Drive,
Mercedes-Benz,AMG GT 63 S E PERFORMANCE,Compact Cars,Car,5,Gasoline,32.72,16.0934,16.0,19.0,18.0,261.59792212956864,All Wheel Drive,
Mercedes-Benz,AMG C 63 S E Performance,Subcompact Cars,Car,5,Gasoline,32.72,12.87472,19.0,22.0,20.0,224.9369306672301,All Wheel Drive,
Mercedes-Benz,AMG E 53 HYBRID 4MATIC+,Midsize Cars,Car,5,Gasoline,31.04,69.20162,21.0,26.0,23.0,72.7006101880274,All Wheel Drive,
Mercedes-Benz,AMG S 63 E PERFORMANCE,Midsize Cars,Car,5,Gasoline,28.8,25.74944,15.0,23.0,18.0,189.51868467819105,All Wheel Drive,
Mercedes-Benz,S 580 e 4MATIC,Large Cars,Car,5,Gasoline,22.74168,77.24832,20.0,29.0,23.0,65.86551008487952,All Wheel Drive,
Mercedes-Benz,AMG GLC 63 S E Performance,Small Station Wagons,Wagon,5,Gasoline,32.72,14.48406,19.0,21.0,20.0,235.5002671902768,All Wheel Drive,
Mercedes-Benz,AMG GLC 63 S E Performance (Coupe),Small Station Wagons,Wagon,5,Gasoline,32.72,14.48406,19.0,21.0,20.0,235.5002671902768,All Wheel Drive,
Mercedes-Benz,GLC 350 e 4MATIC with EQ Hybrid Technology,Small SUV 4WD,SUV,5,Gasoline,31.218,86.90436,23.0,28.0,25.0,52.19530987858377,All Wheel Drive,
